ORI,PUB_AGENCY_NAME,AGENCY_TYPE_NAME,STATE_ABBR
AK0010100,Anchorage,City,AK
AK0010200,Fairbanks,City,AK
AK0010300,Juneau,City,AK
AK0011300,Bethel,City,AK
AK0011600,Kotzebue,City,AK
AK0012000,Soldotna,City,AK
AK0013200,North Pole,City,AK
AK0015600,Wasilla,City,AK
AKAST0100,Alaska State Troopers,State Police,AK
AKFBIAN00,Federal Bureau of Investigation,Federal,AK
AL0010000,Jefferson,County,AL
AL0010200,Birmingham,City,AL
AL0010400,Fairfield,City,AL
AL0011100,Fultondale,City,AL
AL0011200,Hoover,City,AL
AL0011300,Irondale,City,AL
AL0011400,Pleasant Grove,City,AL
AL0011900,Hueytown,City,AL
AL0012200,Adamsville,City,AL
AL0020100,Mobile,City,AL
AL0020200,Prichard,City,AL
AL0020500,Saraland,City,AL
AL0020800,Mount Vernon,City,AL
AL0030000,Montgomery,County,AL
AL0030100,Montgomery,City,AL
AL0040100,Prattville,City,AL
AL0050300,Foley,City,AL
AL0051200,Orange Beach,City,AL
AL0080000,Blount,County,AL
AL0080100,Oneonta,City,AL
AL0100100,Greenville,City,AL
AL0110200,Jacksonville,City,AL
AL0110300,Piedmont,City,AL
AL0110400,Weaver,City,AL
AL0110500,Oxford,City,AL
AL0110800,Jacksonville State University,University or College,AL
AL0120200,Lanett,City,AL
AL0130100,Centre,City,AL
AL0130300,Leesburg,City,AL
AL0140000,Chilton,County,AL
AL0140100,Clanton,City,AL
AL0160000,Clarke,County,AL
AL0160100,Jackson,City,AL
AL0180100,Heflin,City,AL
AL0190100,Elba,City,AL
AL0190200,Enterprise,City,AL
AL0200100,Sheffield,City,AL
AL0200200,Tuscumbia,City,AL
AL0220000,Coosa,County,AL
AL0230100,Andalusia,City,AL
AL0250000,Cullman,County,AL
AL0260000,Dale,County,AL
AL0260100,Ozark,City,AL
AL0260500,Newton,City,AL
AL0280100,Fort Payne,City,AL
AL0281100,Fyffe,City,AL
AL0300100,Atmore,City,AL
AL0340400,Slocomb,City,AL
AL0360100,Greensboro,City,AL
AL0370100,Abbeville,City,AL
AL0410100,Florence,City,AL
AL0420200,Town Creek,City,AL
AL0430000,Lee,County,AL
AL0430100,Auburn,City,AL
AL0440100,Athens,City,AL
AL0450000,Lowndes,County,AL
AL0470000,Madison,County,AL
AL0470100,Huntsville,City,AL
AL0470200,Madison,City,AL
AL0480000,Marengo,County,AL
AL0500200,Guntersville,City,AL
AL0500600,Douglas,City,AL
AL0520100,Decatur,City,AL
AL0560100,Roanoke,City,AL
AL0570100,Phenix City,City,AL
AL0580700,Riverside,City,AL
AL0590400,Alabaster,City,AL
AL0590600,Pelham,City,AL
AL0610100,Sylacauga,City,AL
AL0610200,Talladega,City,AL
AL0610400,Lincoln,City,AL
AL0630000,Tuscaloosa,County,AL
AL0630100,Tuscaloosa,City,AL
AL0640100,Jasper,City,AL
AL0640600,Parrish,City,AL
AL0650000,Washington,County,AL
AL0670200,Haleyville,City,AL
ALFBIBH00,Federal Bureau of Investigation,Federal,AL
ALFBIMO00,Federal Bureau of Investigation,Federal,AL
AR0010000,Arkansas,County,AR
AR0010100,DeWitt,City,AR
AR0010200,Stuttgart,City,AR
AR0020100,Crossett,City,AR
AR0030000,Baxter,County,AR
AR0030400,Lakeview,City,AR
AR0040000,Benton,County,AR
AR0040100,Bentonville,City,AR
AR0040200,Rogers,City,AR
AR0040300,Siloam Springs,City,AR
AR0040400,Pea Ridge,City,AR
AR0040500,Gentry,City,AR
AR0040600,Lowell,City,AR
AR0041300,Centerton,City,AR
AR0042100,Bella Vista,City,AR
AR0050000,Boone,County,AR
AR0050100,Harrison,City,AR
AR0060000,Bradley,County,AR
AR0060100,Warren,City,AR
AR0060200,Hermitage,City,AR
AR0080100,Berryville,City,AR
AR0080200,Eureka Springs,City,AR
AR0080300,Green Forest,City,AR
AR0100100,Arkadelphia,City,AR
AR0100200,Gurdon,City,AR
AR0100400,Henderson State University,University or College,AR
AR0110100,Corning,City,AR
AR0120000,Cleburne,County,AR
AR0120100,Heber Springs,City,AR
AR0120200,Quitman,City,AR
AR0120300,Greers Ferry,City,AR
AR0130000,Cleveland,County,AR
AR0140000,Columbia,County,AR
AR0140100,Magnolia,City,AR
AR0140500,Southern Arkansas University,University or College,AR
AR0150000,Conway,County,AR
AR0150100,Morrilton,City,AR
AR0160000,Craighead,County,AR
AR0160100,Jonesboro,City,AR
AR0160300,Lake City,City,AR
AR0160500,Arkansas State University:,University or College,AR
AR0170000,Crawford,County,AR
AR0170100,Van Buren,City,AR
AR0180000,Crittenden,County,AR
AR0180100,West Memphis,City,AR
AR0180400,Marion,City,AR
AR0190100,Wynne,City,AR
AR0200000,Dallas,County,AR
AR0200100,Fordyce,City,AR
AR0210000,Desha,County,AR
AR0210100,McGehee,City,AR
AR0220000,Drew,County,AR
AR0220100,Monticello,City,AR
AR0220300,University of Arkansas:,University or College,AR
AR0230000,Faulkner,County,AR
AR0230100,Conway,City,AR
AR0230300,Mayflower,City,AR
AR0230600,University of Central Arkansas,University or College,AR
AR0240200,Charleston,City,AR
AR0250000,Fulton,County,AR
AR0250100,Salem,City,AR
AR0260000,Garland,County,AR
AR0260100,Hot Springs,City,AR
AR0270100,Sheridan,City,AR
AR0280000,Greene,County,AR
